,Player,Span,Mat,Inns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Start,End,Final Region
0,M Muralitharan ,1993-2011,350,341,18811.0,12326.0,534.0,7/30,23.08,3.93,35.2,15,10,1993,2011,SL
1,Wasim Akram ,1984-2003,356,351,18186.0,11812.0,502.0,5/15,23.52,3.89,36.2,17,6,1984,2003,PAK
2,Waqar Younis ,1989-2003,262,258,12698.0,9919.0,416.0,7/36,23.84,4.68,30.5,14,13,1989,2003,PAK
3,WPUJC Vaas ,1994-2008,322,320,15775.0,11014.0,400.0,8/19,27.53,4.18,39.4,9,4,1994,2008,SL
4,Shahid Afridi ,1996-2015,398,372,17670.0,13632.0,395.0,7/12,34.51,4.62,44.7,4,9,1996,2015,PAK
5,SM Pollock ,1996-2008,303,297,15712.0,9631.0,393.0,6/35,24.5,3.67,39.9,12,5,1996,2008,SA
6,GD McGrath ,1993-2007,250,248,12970.0,8391.0,381.0,7/15,22.02,3.88,34.0,9,7,1993,2007,AUS
7,B Lee ,2000-2012,221,217,11185.0,8877.0,380.0,5/22,23.36,4.76,29.4,14,9,2000,2012,AUS
8,SL Malinga ,2004-2019,226,220,10936.0,9760.0,338.0,6/38,28.87,5.35,32.3,11,8,2004,2019,SL
9,A Kumble ,1990-2007,271,265,14496.0,10412.0,337.0,6/12,30.89,4.3,43.0,8,2,1990,2007,INDIA
10,ST Jayasuriya ,1989-2011,445,368,14874.0,11871.0,323.0,6/29,36.75,4.78,46.0,8,4,1989,2011,SL
11,J Srinath ,1991-2003,229,227,11935.0,8847.0,315.0,5/23,28.08,4.44,37.8,7,3,1991,2003,INDIA
12,DL Vettori ,1997-2015,295,277,14060.0,9674.0,305.0,5/7,31.71,4.12,46.0,8,2,1997,2015,NZ
13,SK Warne ,1993-2005,194,191,10642.0,7541.0,293.0,5/33,25.73,4.25,36.3,12,1,1993,2005,AUS
14,AB Agarkar ,1998-2007,191,188,9484.0,8021.0,288.0,6/42,27.85,5.07,32.9,10,2,1998,2007,INDIA
15,Saqlain Mushtaq ,1995-2003,169,165,8770.0,6275.0,288.0,5/20,21.78,4.29,30.4,11,6,1995,2003,PAK
16,Z Khan ,2000-2012,200,197,10097.0,8301.0,282.0,5/42,29.43,4.93,35.8,7,1,2000,2012,INDIA
17,JH Kallis ,1996-2014,328,283,10750.0,8680.0,273.0,5/30,31.79,4.84,39.3,2,2,1996,2014,SA
18,AA Donald ,1991-2003,164,162,8561.0,5926.0,272.0,6/23,21.78,4.15,31.4,11,2,1991,2003,SA
19,Abdul Razzaq ,1996-2011,265,254,10941.0,8564.0,269.0,6/35,31.83,4.69,40.6,8,3,1996,2011,PAK
20,JM Anderson ,2002-2015,194,191,9584.0,7861.0,269.0,5/23,29.22,4.92,35.6,11,2,2002,2015,ENG
21,Harbhajan Singh ,1998-2015,236,227,12479.0,8973.0,269.0,5/31,33.35,4.31,46.3,2,3,1998,2015,INDIA
22,Mashrafe Mortaza ,2001-2019,217,217,10789.0,8759.0,266.0,6/26,32.92,4.87,40.5,7,1,2001,2019,BDESH
23,M Ntini ,1998-2009,173,171,8687.0,6559.0,266.0,6/22,24.65,4.53,32.6,8,4,1998,2009,SA
24,Shakib Al Hasan ,2006-2019,206,203,10517.0,7857.0,260.0,5/29,30.21,4.48,40.4,8,2,2006,2019,BDESH
25,N Kapil Dev ,1978-1994,225,221,11202.0,6945.0,253.0,5/43,27.45,3.71,44.2,3,1,1978,1994,INDIA
