,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Start,End,Final Region
0,SL Malinga ,2006-2019,79,79,284.5,1,2061.0,106.0,5/6,19.44,7.23,16.1,1,2,2006,2019,SL
1,Shahid Afridi ,2006-2018,99,97,361.2,4,2396.0,98.0,4/11,24.44,6.63,22.1,3,0,2006,2018,PAK
2,Shakib Al Hasan ,2006-2019,76,75,277.5,2,1894.0,92.0,5/20,20.58,6.81,18.1,3,1,2006,2019,BDESH
3,Saeed Ajmal ,2009-2015,64,63,238.2,2,1516.0,85.0,4/19,17.83,6.36,16.8,4,0,2009,2015,PAK
4,Umar Gul ,2007-2016,60,60,200.3,2,1443.0,85.0,5/6,16.97,7.19,14.1,4,2,2007,2016,PAK
5,Rashid Khan ,2015-2019,45,45,171.0,1,1052.0,84.0,5/3,12.52,6.15,12.2,3,2,2015,2019,AFG
6,GH Dockrell ,2010-2019,73,69,221.2,1,1539.0,75.0,4/20,20.52,6.95,17.7,1,0,2010,2019,IRE
7,TG Southee ,2008-2019,66,64,233.3,2,1954.0,75.0,5/18,26.05,8.36,18.6,0,1,2008,2019,NZ
8,Mohammad Nabi ,2010-2019,75,75,256.4,5,1839.0,69.0,4/10,26.65,7.16,22.3,3,0,2010,2019,AFG
9,KMDN Kulasekara ,2008-2017,58,58,205.1,6,1530.0,66.0,4/31,23.18,7.45,18.6,2,0,2008,2017,SL
10,BAW Mendis ,2008-2014,39,39,147.3,5,952.0,66.0,6/8,14.42,6.45,13.4,3,2,2008,2014,SL
11,SCJ Broad ,2006-2014,56,55,195.3,2,1491.0,65.0,4/24,22.93,7.62,18.0,1,0,2006,2014,ENG
12,Imran Tahir ,2013-2019,38,38,140.5,0,948.0,63.0,5/23,15.04,6.73,13.4,2,2,2013,2019,SA
13,DW Steyn ,2007-2019,44,44,157.1,3,1068.0,61.0,4/9,17.5,6.79,15.4,2,0,2007,2019,SA
14,Mohammad Amir ,2009-2019,48,48,175.4,5,1224.0,59.0,4/13,20.74,6.96,17.8,1,0,2009,2019,PAK
15,NL McCullum ,2007-2016,63,59,187.1,0,1278.0,58.0,4/16,22.03,6.82,19.3,2,0,2007,2016,NZ
16,KJ O'Brien ,2008-2019,90,51,150.3,0,1134.0,58.0,4/45,19.55,7.53,15.5,1,0,2008,2019,IRE
17,S Badree ,2012-2018,52,52,191.0,4,1180.0,56.0,4/15,21.07,6.17,20.4,1,0,2012,2018,WI
18,CJ Jordan ,2014-2019,43,43,151.3,0,1300.0,54.0,4/6,24.07,8.58,16.8,2,0,2014,2019,ENG
19,Mohammad Hafeez ,2006-2018,89,67,186.1,2,1226.0,54.0,4/10,22.7,6.58,20.6,1,0,2006,2018,PAK
20,Sohail Tanvir ,2007-2017,57,57,202.2,3,1454.0,54.0,3/12,26.92,7.18,22.4,0,0,2007,2017,PAK
21,RE van der Merwe ,2009-2019,43,42,149.1,1,938.0,54.0,4/35,17.37,6.28,16.5,1,0,2009,2019,NL
22,WB Rankin ,2009-2019,48,47,170.0,2,1138.0,53.0,3/16,21.47,6.69,19.2,0,0,2009,2019,ENG
23,PM Seelaar ,2008-2019,69,58,172.3,3,1190.0,53.0,4/19,22.45,6.89,19.5,1,0,2008,2019,NL
24,R Ashwin ,2010-2017,46,46,171.0,2,1193.0,52.0,4/8,22.94,6.97,19.7,2,0,2010,2017,INDIA
25,DJ Bravo ,2006-2016,66,56,173.4,0,1470.0,52.0,4/28,28.26,8.46,20.0,2,0,2006,2016,WI
26,YS Chahal ,2016-2019,36,36,140.3,1,1139.0,52.0,6/25,21.9,8.1,16.2,2,1,2016,2019,INDIA
27,Mustafizur Rahman ,2015-2019,37,37,135.1,3,1065.0,52.0,5/22,20.48,7.87,15.5,1,1,2015,2019,BDESH
28,SP Narine ,2012-2019,51,49,183.4,1,1105.0,52.0,4/12,21.25,6.01,21.1,1,0,2012,2019,WI
29,JJ Bumrah ,2016-2019,42,42,153.1,5,1029.0,51.0,3/11,20.17,6.71,18.0,0,0,2016,2019,INDIA
30,NLTC Perera ,2010-2019,79,64,175.4,1,1628.0,51.0,3/24,31.92,9.26,20.6,0,0,2010,2019,SL
31,GP Swann ,2008-2012,39,38,135.0,4,859.0,51.0,3/13,16.84,6.36,15.8,0,0,2008,2012,ENG
32,MJ Santner ,2015-2019,39,38,128.5,1,928.0,49.0,4/11,18.93,7.2,15.7,1,0,2015,2019,NZ
33,SM Sharif ,2012-2019,42,41,143.5,0,1185.0,49.0,4/24,24.18,8.23,17.6,1,0,2012,2019,SCOT
34,SR Watson ,2006-2016,58,49,155.0,2,1187.0,48.0,4/15,24.72,7.65,19.3,1,0,2006,2016,AUS
35,M Morkel ,2007-2017,44,44,158.4,3,1191.0,47.0,4/17,25.34,7.5,20.2,2,0,2007,2017,SA
36,IS Sodhi ,2014-2019,40,39,138.3,0,1131.0,47.0,3/18,24.06,8.16,17.6,0,0,2014,2019,NZ
37,PA van Meekeren ,2013-2019,41,39,136.1,2,945.0,47.0,4/11,20.1,6.94,17.3,2,0,2013,2019,NL
38,Shadab Khan ,2017-2019,38,36,135.3,1,948.0,46.0,4/14,20.6,6.99,17.6,1,0,2017,2019,PAK
39,Bilal Khan ,2015-2019,32,31,111.0,2,778.0,45.0,4/19,17.28,7.0,14.8,3,0,2015,2019,OMAN
40,MRJ Watt ,2015-2019,35,33,125.0,2,903.0,45.0,5/27,20.06,7.22,16.6,0,1,2015,2019,SCOT
41,Abdur Razzak ,2006-2014,34,33,121.4,4,838.0,44.0,4/16,19.04,6.88,16.5,1,0,2006,2014,BDESH
42,Ahsan Malik ,2012-2017,31,29,95.5,1,730.0,44.0,5/19,16.59,7.61,13.0,1,1,2012,2017,NL
43,DJG Sammy ,2007-2017,68,59,152.4,0,1116.0,44.0,5/26,25.36,7.31,20.8,1,1,2007,2017,WI
44,Mudassar Bukhari ,2008-2016,38,35,117.2,4,780.0,43.0,4/7,18.13,6.64,16.3,3,0,2008,2016,NL
45,KD Mills ,2005-2014,42,42,149.3,1,1228.0,43.0,3/26,28.55,8.21,20.8,0,0,2005,2014,NZ
46,Imad Wasim ,2015-2019,41,40,147.0,3,877.0,42.0,5/14,20.88,5.96,21.0,1,1,2015,2019,PAK
47,Mashrafe Mortaza ,2006-2017,54,53,189.5,1,1527.0,42.0,4/19,36.35,8.04,27.1,1,0,2006,2017,BDESH
48,B Kumar ,2012-2019,43,43,154.2,2,1088.0,41.0,5/24,26.53,7.04,22.5,0,1,2012,2019,INDIA
49,WD Parnell ,2009-2017,40,39,124.5,3,1038.0,41.0,4/13,25.31,8.31,18.2,1,0,2009,2017,SA
50,KOK Williams ,2016-2019,24,24,86.5,2,724.0,41.0,4/28,17.65,8.33,12.7,1,0,2016,2019,WI
51,Al-Amin Hossain ,2013-2019,28,26,91.2,0,673.0,40.0,3/20,16.82,7.36,13.7,0,0,2013,2019,BDESH
52,Dawlat Zadran ,2012-2019,34,34,123.3,2,980.0,40.0,4/44,24.5,7.93,18.5,1,0,2012,2019,AFG
53,T van der Gugten ,2012-2019,39,38,118.5,0,847.0,40.0,3/9,21.17,7.12,17.8,0,0,2012,2019,NL
54,TA Boult ,2013-2019,27,27,98.5,1,854.0,39.0,4/34,21.89,8.64,15.2,1,0,2013,2019,NZ
55,JW Dernbach ,2011-2014,34,33,117.0,1,1020.0,39.0,4/22,26.15,8.71,18.0,1,0,2011,2014,ENG
56,AU Rashid ,2009-2019,40,38,133.0,1,1000.0,39.0,3/11,25.64,7.51,20.4,0,0,2009,2019,ENG
57,Rohan Mustafa ,2014-2019,38,36,113.5,2,774.0,39.0,4/18,19.84,6.79,17.5,1,0,2014,2019,UAE
58,MA Starc ,2012-2019,28,28,106.3,1,718.0,39.0,3/11,18.41,6.74,16.3,0,0,2012,2019,AUS
59,MG Johnson ,2007-2013,30,30,109.2,2,797.0,38.0,3/15,20.97,7.28,17.2,0,0,2007,2013,AUS
60,HH Pandya ,2016-2019,40,39,116.5,1,976.0,38.0,4/38,25.68,8.35,18.4,1,0,2016,2019,INDIA
61,DL Vettori ,2007-2014,34,34,131.1,1,748.0,38.0,4/20,19.68,5.7,20.7,1,0,2007,2014,NZ
62,J Botha ,2006-2012,40,39,129.0,1,823.0,37.0,3/16,22.24,6.37,20.9,0,0,2006,2012,SA
63,Kuldeep Yadav ,2017-2019,19,19,71.3,1,499.0,37.0,5/24,13.48,6.97,11.5,1,1,2017,2019,INDIA
64,AD Mathews ,2009-2018,72,57,161.3,4,1101.0,37.0,3/16,29.75,6.81,26.1,0,0,2009,2018,SL
65,Mohammad Naveed ,2015-2019,31,31,114.4,5,729.0,37.0,3/14,19.7,6.35,18.5,0,0,2015,2019,UAE
66,AJ Tye ,2016-2018,26,25,91.5,1,815.0,37.0,4/23,22.02,8.87,14.8,1,0,2016,2018,AUS
67,AC Evans ,2015-2019,27,25,93.0,4,689.0,36.0,5/24,19.13,7.4,15.5,0,1,2015,2019,SCOT
68,JP Faulkner ,2012-2017,24,24,85.5,0,684.0,36.0,5/27,19.0,7.96,14.3,0,1,2012,2017,AUS
69,AG Cremer ,2008-2018,29,28,95.0,1,660.0,35.0,3/11,18.85,6.94,16.2,0,0,2008,2018,ZIM
70,AR Cusack ,2008-2015,37,33,101.0,3,714.0,35.0,4/11,20.4,7.06,17.3,3,0,2008,2015,IRE
71,Hasan Ali ,2016-2019,30,30,103.3,3,877.0,35.0,3/23,25.05,8.47,17.7,0,0,2016,2019,PAK
72,RA Jadeja ,2009-2019,46,46,152.1,4,1093.0,35.0,3/48,31.22,7.18,26.0,0,0,2009,2019,INDIA
73,SO Ngoche ,2010-2019,28,28,94.0,0,637.0,35.0,4/14,18.2,6.77,16.1,2,0,2010,2019,KENYA
74,Shapoor Zadran ,2010-2018,34,34,107.5,3,843.0,35.0,3/40,24.08,7.81,18.4,0,0,2010,2018,AFG
75,N Vanua ,2015-2019,25,25,81.4,3,505.0,35.0,5/17,14.42,6.18,14.0,1,1,2015,2019,PNG
76,Aizaz Khan ,2014-2019,30,30,99.2,2,692.0,34.0,3/10,20.35,6.96,17.5,0,0,2014,2019,HKG
77,NM Coulter-Nile ,2013-2019,28,27,97.0,1,802.0,34.0,4/31,23.58,8.26,17.1,1,0,2013,2019,AUS
78,CH Morris ,2012-2019,23,23,83.0,3,697.0,34.0,4/27,20.5,8.39,14.6,1,0,2012,2019,SA
