,Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,Start,End,Final Region
0,KC Sangakkara ,2000-2015,404,397,501,402,99,383,19,5 (4ct 1st),1.261,2000,2015,SL
1,AC Gilchrist ,1996-2008,287,286,472,417,55,417,0,6 (6ct 0st),1.65,1996,2008,AUS
2,MS Dhoni ,2004-2019,350,345,444,321,123,321,0,6 (5ct 1st),1.286,2004,2019,INDIA
3,MV Boucher ,1998-2011,295,291,425,403,22,402,1,6 (6ct 0st),1.46,1998,2011,SA
4,Moin Khan ,1990-2004,219,217,287,214,73,214,0,5 (5ct 0st),1.3219999999999998,1990,2004,PAK
5,BB McCullum ,2002-2016,260,257,277,262,15,227,35,5 (5ct 0st),1.077,2002,2016,NZ
6,IA Healy ,1988-1997,168,168,233,194,39,194,0,4 (4ct 0st),1.386,1988,1997,AUS
7,Mushfiqur Rahim ,2006-2019,216,215,225,181,44,179,2,5 (5ct 0st),1.046,2006,2019,BDESH
8,Rashid Latif ,1992-2003,166,164,220,182,38,182,0,5 (5ct 0st),1.341,1992,2003,PAK
9,DPMD Jayawardene ,1998-2015,448,443,218,218,0,0,218,4 (4ct 0st),0.492,1998,2015,SL
10,R Dravid ,1996-2011,344,341,210,196,14,72,124,4 (4ct 0st),0.615,1996,2011,INDIA
11,RS Kaluwitharana ,1990-2004,189,188,207,132,75,131,1,5 (4ct 1st),1.101,1990,2004,SL
12,PJL Dujon ,1981-1991,169,168,204,183,21,183,0,4 (4ct 0st),1.214,1981,1991,WI
13,JC Buttler ,2012-2019,142,138,202,171,31,171,0,6 (6ct 0st),1.463,2012,2019,ENG
14,RD Jacobs ,1996-2004,147,145,189,160,29,160,0,6 (5ct 1st),1.3030000000000002,1996,2004,WI
15,Kamran Akmal ,2002-2017,157,154,188,157,31,156,1,5 (4ct 1st),1.22,2002,2017,PAK
16,D Ramdin ,2005-2016,139,137,188,181,7,181,0,5 (5ct 0st),1.372,2005,2016,WI
17,AB de Villiers ,2005-2018,228,223,181,176,5,93,83,5 (5ct 0st),0.8109999999999999,2005,2018,SA
18,BJ Haddin ,2001-2015,126,124,181,170,11,170,0,5 (5ct 0st),1.459,2001,2015,AUS
19,AJ Stewart ,1989-2003,170,169,174,159,15,148,11,6 (6ct 0st),1.029,1989,2003,ENG
20,A Flower ,1992-2003,213,212,173,141,32,133,8,5 (5ct 0st),0.816,1992,2003,ZIM
21,Q de Kock ,2013-2019,115,111,166,158,8,158,0,6 (5ct 1st),1.495,2013,2019,SA
22,DJ Richardson ,1991-1998,122,121,165,148,17,148,0,5 (5ct 0st),1.3630000000000002,1991,1998,SA
23,RT Ponting ,1995-2012,375,372,160,160,0,0,160,3 (3ct 0st),0.43,1995,2012,AUS
24,M Azharuddin ,1985-2000,334,332,156,156,0,0,156,4 (4ct 0st),0.469,1985,2000,INDIA
25,NR Mongia ,1994-2000,140,139,154,110,44,110,0,5 (4ct 1st),1.107,1994,2000,INDIA
26,BRM Taylor ,2004-2019,193,193,154,125,29,96,29,5 (5ct 0st),0.797,2004,2019,ZIM
27,T Taibu ,2001-2012,150,150,147,114,33,112,2,4 (4ct 0st),0.98,2001,2012,ZIM
28,AC Parore ,1992-2002,179,178,141,116,25,111,5,5 (3ct 2st),0.792,1992,2002,NZ
29,Sarfaraz Ahmed ,2007-2019,116,114,140,116,24,116,0,6 (6ct 0st),1.228,2007,2019,PAK
30,SR Tendulkar ,1989-2012,463,456,140,140,0,0,140,4 (4ct 0st),0.307,1989,2012,INDIA
31,LRPL Taylor ,2006-2019,228,224,137,137,0,0,137,4 (4ct 0st),0.611,2006,2019,NZ
32,Younis Khan ,2000-2015,265,260,135,135,0,5,130,4 (4ct 0st),0.519,2000,2015,PAK
33,SP Fleming ,1994-2007,280,276,133,133,0,0,133,4 (4ct 0st),0.481,1994,2007,NZ
34,JH Kallis ,1996-2014,328,324,131,131,0,0,131,3 (3ct 0st),0.4039999999999999,1996,2014,SA
35,M Muralitharan ,1993-2011,350,347,130,130,0,0,130,3 (3ct 0st),0.374,1993,2011,SL
36,AR Border ,1979-1994,273,270,127,127,0,0,127,3 (3ct 0st),0.47,1979,1994,AUS
37,Shahid Afridi ,1996-2015,398,392,127,127,0,0,127,2 (2ct 0st),0.3229999999999999,1996,2015,PAK
38,Khaled Mashud ,1995-2006,126,126,126,91,35,91,0,5 (3ct 2st),1.0,1995,2006,BDESH
39,TM Dilshan ,1999-2016,330,325,124,123,1,5,118,3 (3ct 0st),0.381,1999,2016,SL
40,CH Gayle ,1999-2019,301,294,124,124,0,0,124,3 (3ct 0st),0.421,1999,2019,WI
41,V Kohli ,2008-2019,242,240,124,124,0,0,124,3 (3ct 0st),0.516,2008,2019,INDIA
42,RW Marsh ,1971-1984,92,92,124,120,4,120,0,5 (5ct 0st),1.347,1971,1984,AUS
43,ST Jayasuriya ,1989-2011,445,441,123,123,0,0,123,3 (3ct 0st),0.278,1989,2011,SL
44,CL Hooper ,1987-2003,227,225,120,120,0,0,120,4 (4ct 0st),0.5329999999999999,1987,2003,WI
45,BC Lara ,1990-2007,299,296,120,120,0,0,120,3 (3ct 0st),0.405,1990,2007,WI
46,L Ronchi ,2008-2017,85,83,117,105,12,105,0,4 (4ct 0st),1.409,2008,2017,AUS
47,MS Wade ,2012-2017,94,94,117,108,9,108,0,5 (5ct 0st),1.244,2012,2017,AUS
48,Inzamam-ul-Haq ,1991-2007,378,373,113,113,0,0,113,3 (3ct 0st),0.302,1991,2007,PAK
49,SR Waugh ,1986-2002,325,324,111,111,0,0,111,3 (3ct 0st),0.342,1986,2002,AUS
50,KC Sangakkara ,2000-2015,404,397,501,402,99,383,19,5 (4ct 1st),1.261,2000,2015,SL
51,AC Gilchrist ,1996-2008,287,286,472,417,55,417,0,6 (6ct 0st),1.65,1996,2008,AUS
52,MS Dhoni ,2004-2019,350,345,444,321,123,321,0,6 (5ct 1st),1.286,2004,2019,INDIA
53,MV Boucher ,1998-2011,295,291,425,403,22,402,1,6 (6ct 0st),1.46,1998,2011,SA
54,Moin Khan ,1990-2004,219,217,287,214,73,214,0,5 (5ct 0st),1.3219999999999998,1990,2004,PAK
55,BB McCullum ,2002-2016,260,257,277,262,15,227,35,5 (5ct 0st),1.077,2002,2016,NZ
56,IA Healy ,1988-1997,168,168,233,194,39,194,0,4 (4ct 0st),1.386,1988,1997,AUS
57,Mushfiqur Rahim ,2006-2019,216,215,225,181,44,179,2,5 (5ct 0st),1.046,2006,2019,BDESH
58,Rashid Latif ,1992-2003,166,164,220,182,38,182,0,5 (5ct 0st),1.341,1992,2003,PAK
59,DPMD Jayawardene ,1998-2015,448,443,218,218,0,0,218,4 (4ct 0st),0.492,1998,2015,SL
60,R Dravid ,1996-2011,344,341,210,196,14,72,124,4 (4ct 0st),0.615,1996,2011,INDIA
61,RS Kaluwitharana ,1990-2004,189,188,207,132,75,131,1,5 (4ct 1st),1.101,1990,2004,SL
62,PJL Dujon ,1981-1991,169,168,204,183,21,183,0,4 (4ct 0st),1.214,1981,1991,WI
63,JC Buttler ,2012-2019,142,138,202,171,31,171,0,6 (6ct 0st),1.463,2012,2019,ENG
64,RD Jacobs ,1996-2004,147,145,189,160,29,160,0,6 (5ct 1st),1.3030000000000002,1996,2004,WI
65,Kamran Akmal ,2002-2017,157,154,188,157,31,156,1,5 (4ct 1st),1.22,2002,2017,PAK
66,D Ramdin ,2005-2016,139,137,188,181,7,181,0,5 (5ct 0st),1.372,2005,2016,WI
67,AB de Villiers ,2005-2018,228,223,181,176,5,93,83,5 (5ct 0st),0.8109999999999999,2005,2018,SA
68,BJ Haddin ,2001-2015,126,124,181,170,11,170,0,5 (5ct 0st),1.459,2001,2015,AUS
69,AJ Stewart ,1989-2003,170,169,174,159,15,148,11,6 (6ct 0st),1.029,1989,2003,ENG
70,A Flower ,1992-2003,213,212,173,141,32,133,8,5 (5ct 0st),0.816,1992,2003,ZIM
71,Q de Kock ,2013-2019,115,111,166,158,8,158,0,6 (5ct 1st),1.495,2013,2019,SA
72,DJ Richardson ,1991-1998,122,121,165,148,17,148,0,5 (5ct 0st),1.3630000000000002,1991,1998,SA
73,RT Ponting ,1995-2012,375,372,160,160,0,0,160,3 (3ct 0st),0.43,1995,2012,AUS
74,M Azharuddin ,1985-2000,334,332,156,156,0,0,156,4 (4ct 0st),0.469,1985,2000,INDIA
75,NR Mongia ,1994-2000,140,139,154,110,44,110,0,5 (4ct 1st),1.107,1994,2000,INDIA
76,BRM Taylor ,2004-2019,193,193,154,125,29,96,29,5 (5ct 0st),0.797,2004,2019,ZIM
77,T Taibu ,2001-2012,150,150,147,114,33,112,2,4 (4ct 0st),0.98,2001,2012,ZIM
78,AC Parore ,1992-2002,179,178,141,116,25,111,5,5 (3ct 2st),0.792,1992,2002,NZ
79,Sarfaraz Ahmed ,2007-2019,116,114,140,116,24,116,0,6 (6ct 0st),1.228,2007,2019,PAK
80,SR Tendulkar ,1989-2012,463,456,140,140,0,0,140,4 (4ct 0st),0.307,1989,2012,INDIA
81,LRPL Taylor ,2006-2019,228,224,137,137,0,0,137,4 (4ct 0st),0.611,2006,2019,NZ
82,Younis Khan ,2000-2015,265,260,135,135,0,5,130,4 (4ct 0st),0.519,2000,2015,PAK
83,SP Fleming ,1994-2007,280,276,133,133,0,0,133,4 (4ct 0st),0.481,1994,2007,NZ
84,JH Kallis ,1996-2014,328,324,131,131,0,0,131,3 (3ct 0st),0.4039999999999999,1996,2014,SA
85,M Muralitharan ,1993-2011,350,347,130,130,0,0,130,3 (3ct 0st),0.374,1993,2011,SL
86,AR Border ,1979-1994,273,270,127,127,0,0,127,3 (3ct 0st),0.47,1979,1994,AUS
