,Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,Start,End,Final Region
0,MS Dhoni ,2006-2019,98.0,97.0,91.0,57.0,34,57,0,5 (5ct 0st),0.938,2006,2019,INDIA
1,AB de Villiers ,2006-2017,78.0,78.0,72.0,65.0,7,21,44,4 (4ct 0st),0.9229999999999999,2006,2017,SA
2,D Ramdin ,2006-2019,71.0,71.0,63.0,43.0,20,43,0,4 (4ct 0st),0.887,2006,2019,WI
3,Kamran Akmal ,2006-2017,58.0,58.0,60.0,28.0,32,28,0,4 (0ct 4st),1.034,2006,2017,PAK
4,Mushfiqur Rahim ,2006-2019,84.0,82.0,59.0,31.0,28,30,1,3 (1ct 2st),0.7190000000000001,2006,2019,BDESH
5,Mohammad Shahzad ,2010-2018,65.0,65.0,54.0,26.0,28,26,0,5 (3ct 2st),0.83,2010,2018,AFG
6,DA Miller ,2010-2019,72.0,72.0,52.0,51.0,1,1,50,4 (4ct 0st),0.722,2010,2019,SA
7,Umar Akmal ,2009-2019,84.0,84.0,52.0,50.0,2,11,39,3 (3ct 0st),0.619,2009,2019,PAK
8,Shoaib Malik ,2006-2019,111.0,111.0,50.0,50.0,0,0,50,3 (3ct 0st),0.45,2006,2019,PAK
9,Q de Kock ,2012-2019,38.0,38.0,46.0,36.0,10,36,0,4 (3ct 1st),1.21,2012,2019,SA
10,MJ Guptill ,2009-2019,83.0,82.0,46.0,46.0,0,0,46,3 (3ct 0st),0.56,2009,2019,NZ
11,GC Wilson ,2008-2019,78.0,76.0,46.0,39.0,7,28,11,4 (3ct 1st),0.605,2008,2019,IRE
12,KC Sangakkara ,2006-2014,56.0,56.0,45.0,25.0,20,25,0,3 (2ct 1st),0.8029999999999999,2006,2014,SL
13,Sarfaraz Ahmed ,2010-2019,58.0,58.0,45.0,35.0,10,35,0,3 (3ct 0st),0.775,2010,2019,PAK
14,BB McCullum ,2005-2015,71.0,71.0,44.0,36.0,8,24,12,3 (3ct 0st),0.619,2005,2015,NZ
15,LRPL Taylor ,2006-2019,95.0,95.0,44.0,44.0,0,0,44,3 (3ct 0st),0.46299999999999997,2006,2019,NZ
16,DA Warner ,2009-2019,76.0,76.0,43.0,43.0,0,0,43,3 (3ct 0st),0.565,2009,2019,AUS
17,SK Raina ,2006-2018,78.0,78.0,42.0,42.0,0,0,42,3 (3ct 0st),0.5379999999999999,2006,2018,INDIA
18,Mohammad Nabi ,2010-2019,75.0,75.0,41.0,41.0,0,0,41,3 (3ct 0st),0.546,2010,2019,AFG
19,RG Sharma ,2007-2019,104.0,104.0,38.0,38.0,0,0,38,3 (3ct 0st),0.365,2007,2019,INDIA
20,LD Chandimal ,2010-2018,54.0,54.0,37.0,32.0,5,15,17,4 (4ct 0st),0.685,2010,2018,SL
21,V Kohli ,2010-2019,75.0,75.0,37.0,37.0,0,0,37,3 (3ct 0st),0.493,2010,2019,INDIA
22,EJG Morgan ,2009-2019,86.0,86.0,37.0,37.0,0,0,37,3 (3ct 0st),0.43,2009,2019,ENG
23,GH Dockrell ,2010-2019,73.0,70.0,36.0,36.0,0,0,36,3 (3ct 0st),0.514,2010,2019,IRE
24,DJ Bravo ,2006-2016,66.0,66.0,35.0,35.0,0,0,35,3 (3ct 0st),0.53,2006,2016,WI
25,JP Duminy ,2007-2019,81.0,81.0,35.0,35.0,0,0,35,2 (2ct 0st),0.43200000000000005,2007,2019,SA
26,KJ O'Brien ,2008-2019,90.0,86.0,34.0,34.0,0,0,34,2 (2ct 0st),0.395,2008,2019,IRE
27,KA Pollard ,2008-2019,68.0,68.0,34.0,34.0,0,0,34,2 (2ct 0st),0.5,2008,2019,WI
28,MH Cross ,2013-2019,43.0,41.0,33.0,22.0,11,22,0,3 (2ct 1st),0.804,2013,2019,SCOT
29,TM Dilshan ,2006-2016,80.0,80.0,33.0,31.0,2,5,26,2 (2ct 0st),0.41200000000000003,2006,2016,SL
30,AD Hales ,2011-2019,60.0,59.0,32.0,32.0,0,0,32,2 (2ct 0st),0.542,2011,2019,ENG
31,BN Cooper ,2013-2019,51.0,50.0,31.0,31.0,0,0,31,2 (2ct 0st),0.62,2013,2019,NL
32,Mahmudullah ,2007-2019,83.0,81.0,31.0,31.0,0,0,31,2 (2ct 0st),0.382,2007,2019,BDESH
33,DJG Sammy ,2007-2017,68.0,68.0,31.0,31.0,0,0,31,4 (4ct 0st),0.455,2007,2017,WI
34,JM Bairstow ,2011-2019,34.0,34.0,30.0,30.0,0,8,22,2 (2ct 0st),0.882,2011,2019,ENG
35,GJ Maxwell ,2012-2019,61.0,60.0,30.0,30.0,0,0,30,2 (2ct 0st),0.5,2012,2019,AUS
36,NLTC Perera ,2010-2019,79.0,79.0,30.0,30.0,0,0,30,2 (2ct 0st),0.379,2010,2019,SL
37,L Ronchi ,2008-2018,33.0,33.0,30.0,24.0,6,24,0,3 (3ct 0st),0.909,2008,2018,AUS
38,Shahid Afridi ,2006-2018,99.0,99.0,30.0,30.0,0,0,30,3 (3ct 0st),0.303,2006,2018,PAK
39,TG Southee ,2008-2019,66.0,65.0,29.0,29.0,0,0,29,2 (2ct 0st),0.446,2008,2019,NZ
40,PW Borren ,2008-2017,43.0,41.0,28.0,28.0,0,0,28,4 (4ct 0st),0.682,2008,2017,NL
41,SA Edwards ,2018-2019,29.0,28.0,28.0,24.0,4,24,0,3 (3ct 0st),1.0,2018,2019,NL
