,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,Start,End,Final Region
0,SR Tendulkar ,1989-2012,463,452,41,18426.0,200.0,44.83,21367,86.23,49,96,20,1989,2012,INDIA
1,KC Sangakkara ,2000-2015,404,380,41,14234.0,169.0,41.98,18048,78.86,25,93,15,2000,2015,SL
2,RT Ponting ,1995-2012,375,365,39,13704.0,164.0,42.03,17046,80.39,30,82,20,1995,2012,AUS
3,ST Jayasuriya ,1989-2011,445,433,18,13430.0,189.0,32.36,14725,91.2,28,68,34,1989,2011,SL
4,DPMD Jayawardene ,1998-2015,448,418,39,12650.0,144.0,33.37,16020,78.96,19,77,28,1998,2015,SL
5,Inzamam-ul-Haq ,1991-2007,378,350,53,11739.0,137.0,39.52,15812,74.24,10,83,20,1991,2007,PAK
6,V Kohli ,2008-2019,242,233,39,11609.0,183.0,59.84,12445,93.28,43,55,13,2008,2019,INDIA
7,JH Kallis ,1996-2014,328,314,53,11579.0,139.0,44.36,15885,72.89,17,86,17,1996,2014,SA
8,SC Ganguly ,1992-2007,311,300,23,11363.0,183.0,41.02,15416,73.7,22,72,16,1992,2007,INDIA
9,R Dravid ,1996-2011,344,318,40,10889.0,153.0,39.16,15284,71.24,12,83,13,1996,2011,INDIA
10,MS Dhoni ,2004-2019,350,297,84,10773.0,183.0,50.57,12303,87.56,10,73,10,2004,2019,INDIA
11,CH Gayle ,1999-2019,301,294,17,10480.0,215.0,37.83,12019,87.19,25,54,25,1999,2019,WI
12,BC Lara ,1990-2007,299,289,32,10405.0,169.0,40.48,13086,79.51,19,63,16,1990,2007,WI
13,TM Dilshan ,1999-2016,330,303,41,10290.0,161.0,39.27,11933,86.23,22,47,11,1999,2016,SL
14,Mohammad Yousuf ,1998-2010,288,273,40,9720.0,141.0,41.71,12942,75.1,15,64,15,1998,2010,PAK
15,AC Gilchrist ,1996-2008,287,279,11,9619.0,172.0,35.89,9922,96.94,16,55,19,1996,2008,AUS
16,AB de Villiers ,2005-2018,228,218,39,9577.0,176.0,53.5,9473,101.09,25,53,7,2005,2018,SA
17,M Azharuddin ,1985-2000,334,308,54,9378.0,153.0,36.92,12669,74.02,7,58,9,1985,2000,INDIA
18,PA de Silva ,1984-2003,308,296,30,9284.0,145.0,34.9,11443,81.13,11,64,17,1984,2003,SL
19,RG Sharma ,2007-2019,221,214,32,8944.0,264.0,49.14,10063,88.88,28,43,13,2007,2019,INDIA
20,Saeed Anwar ,1989-2003,247,244,19,8824.0,194.0,39.21,10938,80.67,20,43,15,1989,2003,PAK
21,S Chanderpaul ,1994-2011,268,251,40,8778.0,150.0,41.6,12408,70.74,11,59,6,1994,2011,WI
22,Yuvraj Singh ,2000-2017,304,278,40,8701.0,150.0,36.55,9924,87.67,14,52,18,2000,2017,INDIA
23,DL Haynes ,1978-1994,238,237,28,8648.0,152.0,41.37,13707,63.09,17,57,13,1978,1994,WI
24,MS Atapattu ,1990-2007,268,259,32,8529.0,132.0,37.57,12594,67.72,11,59,13,1990,2007,SL
25,ME Waugh ,1988-2002,244,236,20,8500.0,173.0,39.35,11053,76.9,18,50,16,1988,2002,AUS
26,LRPL Taylor ,2006-2019,228,212,37,8376.0,181.0,47.86,10091,83.0,20,50,9,2006,2019,NZ
27,V Sehwag ,1999-2013,251,245,9,8273.0,219.0,35.05,7929,104.33,15,38,14,1999,2013,INDIA
28,HM Amla ,2008-2019,181,178,14,8113.0,159.0,49.46,9178,88.39,27,39,4,2008,2019,SA
29,HH Gibbs ,1996-2010,248,240,16,8094.0,175.0,36.13,9721,83.26,21,37,22,1996,2010,SA
30,Shahid Afridi ,1996-2015,398,369,27,8064.0,124.0,23.57,6892,117.0,6,39,30,1996,2015,PAK
31,SP Fleming ,1994-2007,280,269,21,8037.0,134.0,32.4,11242,71.49,8,49,17,1994,2007,NZ
32,MJ Clarke ,2003-2015,245,223,44,7981.0,130.0,44.58,10104,78.98,8,58,10,2003,2015,AUS
33,SR Waugh ,1986-2002,325,288,58,7569.0,120.0,32.9,9971,75.91,3,45,15,1986,2002,AUS
34,Shoaib Malik ,1999-2019,287,258,40,7534.0,143.0,34.55,9199,81.9,9,44,15,1999,2019,PAK
35,A Ranatunga ,1982-1999,269,255,47,7456.0,131.0,35.84,9571,77.9,4,49,18,1982,1999,SL
36,Javed Miandad ,1975-1996,233,218,41,7381.0,119.0,41.7,11014,67.01,8,50,8,1975,1996,PAK
37,EJG Morgan ,2006-2019,233,217,32,7348.0,148.0,39.71,8053,91.24,13,46,15,2006,2019,ENG
38,Younis Khan ,2000-2015,265,255,23,7249.0,144.0,31.24,9628,75.29,7,48,22,2000,2015,PAK
39,Saleem Malik ,1982-1999,283,256,38,7170.0,102.0,32.88,9383,76.41,5,47,19,1982,1999,PAK
40,NJ Astle ,1995-2007,223,217,14,7090.0,145.0,34.92,9760,72.64,16,41,19,1995,2007,NZ
41,GC Smith ,2002-2013,197,194,10,6989.0,141.0,37.98,8648,80.81,10,47,8,2002,2013,SA
42,WU Tharanga ,2005-2019,235,223,17,6951.0,174.0,33.74,9155,75.92,15,37,17,2005,2019,SL
43,MG Bevan ,1994-2004,232,196,67,6912.0,108.0,53.58,9320,74.16,6,46,5,1994,2004,AUS
44,Tamim Iqbal ,2007-2019,204,202,8,6892.0,154.0,35.52,8865,77.74,11,47,18,2007,2019,BDESH
45,G Kirsten ,1993-2003,185,185,19,6798.0,188.0,40.95,9436,72.04,13,45,11,1993,2003,SA
46,A Flower ,1992-2003,213,208,16,6786.0,145.0,35.34,9097,74.59,4,55,13,1992,2003,ZIM
47,IVA Richards ,1975-1991,187,167,24,6721.0,189.0,47.0,7451,90.2,11,45,7,1975,1991,WI
48,MJ Guptill ,2009-2019,179,176,19,6626.0,237.0,42.2,7586,87.34,16,35,15,2009,2019,NZ
49,Mohammad Hafeez ,2003-2019,218,216,15,6614.0,140.0,32.9,8633,76.61,11,38,19,2003,2019,PAK
50,GW Flower ,1992-2010,221,214,18,6571.0,142.0,33.52,9723,67.58,6,40,18,1992,2010,ZIM
51,Ijaz Ahmed ,1986-2000,250,232,29,6564.0,139.0,32.33,8174,80.3,10,37,14,1986,2000,PAK
52,AR Border ,1979-1994,273,252,39,6524.0,127.0,30.62,9134,71.42,3,39,11,1979,1994,AUS
53,Shakib Al Hasan ,2006-2019,206,194,27,6323.0,134.0,37.86,7641,82.75,9,47,10,2006,2019,BDESH
54,BRM Taylor ,2004-2019,193,192,15,6293.0,145.0,35.55,8256,76.22,10,38,15,2004,2019,ZIM
55,RB Richardson ,1983-1996,224,217,30,6248.0,122.0,33.41,9801,63.74,5,44,8,1983,1996,WI
56,ML Hayden ,1993-2008,161,155,15,6133.0,181.0,43.8,7767,78.96,10,36,9,1993,2008,AUS
57,KS Williamson ,2010-2019,149,142,14,6132.0,148.0,47.9,7494,81.82,13,39,5,2010,2019,NZ
58,Mushfiqur Rahim ,2006-2019,216,202,34,6100.0,144.0,36.3,7718,79.03,7,37,10,2006,2019,BDESH
59,BB McCullum ,2002-2016,260,228,28,6083.0,166.0,30.41,6312,96.37,5,32,20,2002,2016,NZ
60,DM Jones ,1984-1994,164,161,25,6068.0,145.0,44.61,8362,72.56,7,46,6,1984,1994,AUS
61,DC Boon ,1984-1995,181,177,16,5964.0,122.0,37.04,9157,65.13,5,37,6,1984,1995,AUS
62,JN Rhodes ,1992-2003,245,220,51,5935.0,121.0,35.11,7336,80.9,2,33,12,1992,2003,SA
63,JE Root ,2013-2019,143,135,21,5856.0,133.0,51.36,6702,87.37,16,33,4,2013,2019,ENG
64,Rameez Raja ,1985-1997,198,197,15,5841.0,119.0,32.09,9226,63.31,9,31,15,1985,1997,PAK
65,AD Mathews ,2008-2019,214,184,48,5812.0,139.0,42.73,6974,83.33,3,40,15,2008,2019,SL
66,RR Sarwan ,2000-2013,181,169,33,5804.0,120.0,42.67,7663,75.74,5,38,8,2000,2013,WI
67,CL Hooper ,1987-2003,227,206,43,5761.0,113.0,35.34,7517,76.63,7,29,7,1987,2003,WI
68,SR Watson ,2002-2015,190,169,27,5757.0,185.0,40.54,6365,90.44,9,33,12,2002,2015,AUS
69,H Masakadza ,2001-2019,209,208,4,5658.0,178.0,27.73,7728,73.21,5,34,15,2001,2019,ZIM
70,SK Raina ,2005-2018,226,194,35,5615.0,116.0,35.31,6005,93.5,5,36,14,2005,2018,INDIA
71,MN Samuels ,2000-2018,207,196,26,5606.0,133.0,32.97,7463,75.11,10,30,11,2000,2018,WI
72,WJ Cronje ,1992-2000,188,175,31,5565.0,112.0,38.64,7277,76.47,2,39,8,1992,2000,SA
73,S Dhawan ,2010-2019,133,131,7,5518.0,143.0,44.5,5869,94.01,17,27,5,2010,2019,INDIA
74,F du Plessis ,2011-2019,143,136,20,5507.0,185.0,47.47,6215,88.6,12,35,3,2011,2019,SA
75,MEK Hussey ,2004-2012,185,157,44,5442.0,109.0,48.15,6243,87.16,3,39,3,2004,2012,AUS
76,IR Bell ,2004-2015,161,157,14,5416.0,141.0,37.87,7019,77.16,4,35,6,2004,2015,ENG
77,A Jadeja ,1992-2000,196,179,36,5359.0,119.0,37.47,7677,69.8,6,30,10,1992,2000,INDIA
78,DR Martyn ,1992-2006,208,182,51,5346.0,144.0,40.8,6877,77.73,5,37,10,1992,2006,AUS
79,G Gambhir ,2003-2013,147,143,11,5238.0,150.0,39.68,6144,85.25,11,34,11,2003,2013,INDIA
80,ADR Campbell ,1992-2003,188,184,14,5185.0,131.0,30.5,7834,66.18,7,30,11,1992,2003,ZIM
81,RS Mahanama ,1986-1999,213,198,23,5162.0,119.0,29.49,8521,60.57,4,35,15,1986,1999,SL
82,CG Greenidge ,1975-1991,128,127,13,5134.0,133.0,45.03,7908,64.92,11,31,3,1975,1991,WI
83,Misbah-ul-Haq ,2002-2015,162,149,31,5122.0,96.0,43.4,6945,73.75,0,42,6,2002,2015,PAK
84,JP Duminy ,2004-2019,199,179,40,5117.0,150.0,36.81,6052,84.55,4,27,7,2004,2019,SA
85,PD Collingwood ,2001-2011,197,181,37,5092.0,120.0,35.36,6614,76.98,5,26,7,2001,2011,ENG
86,A Symonds ,1998-2009,198,161,33,5088.0,156.0,39.75,5504,92.44,6,30,15,1998,2009,AUS
87,Abdul Razzaq ,1996-2011,265,228,57,5080.0,112.0,29.7,6252,81.25,3,23,14,1996,2011,PAK
88,DA Warner ,2009-2019,116,114,5,4990.0,179.0,45.77,5222,95.55,17,20,2,2009,2019,AUS
89,CL Cairns ,1991-2006,215,193,25,4950.0,115.0,29.46,5874,84.26,4,26,9,1991,2006,NZ
90,Q de Kock ,2013-2019,115,115,6,4907.0,178.0,45.01,5154,95.2,14,24,3,2013,2019,SA
91,Aamer Sohail ,1990-2000,156,155,5,4780.0,134.0,31.86,7297,65.5,5,31,10,1990,2000,PAK
92,CD McMillan ,1997-2007,197,183,16,4707.0,117.0,28.18,6198,75.94,3,28,9,1997,2007,NZ
93,MD Crowe ,1982-1995,143,140,18,4704.0,107.0,38.55,6476,72.63,4,34,3,1982,1995,NZ
94,MV Boucher ,1998-2011,295,221,57,4686.0,147.0,28.57,5528,84.76,1,26,16,1998,2011,SA
95,AJ Stewart ,1989-2003,170,162,14,4677.0,116.0,31.6,6841,68.36,4,28,13,1989,2003,ENG
96,AJ Finch ,2013-2019,119,115,2,4559.0,153.0,40.34,5093,89.51,15,24,11,2013,2019,AUS
97,SB Styris ,1999-2011,188,161,23,4483.0,141.0,32.48,5645,79.41,4,28,9,1999,2011,NZ
98,KP Pietersen ,2004-2013,136,125,16,4440.0,130.0,40.73,5128,86.58,9,25,7,2004,2013,ENG
99,NS Sidhu ,1987-1998,136,127,8,4413.0,134.0,37.08,6329,69.72,6,33,7,1987,1998,INDIA
100,CZ Harris ,1990-2004,250,213,62,4379.0,130.0,29.0,6583,66.51,1,16,12,1990,2004,NZ
101,GR Marsh ,1986-1992,117,115,6,4357.0,126.0,39.97,7790,55.93,9,22,4,1986,1992,AUS
102,E Chigumbura ,2004-2018,213,198,26,4340.0,117.0,25.23,5423,80.02,2,19,17,2004,2018,ZIM
103,ME Trescothick ,2000-2006,123,122,6,4335.0,137.0,37.37,5087,85.21,12,21,13,2000,2006,ENG
104,GA Gooch ,1976-1995,125,122,6,4290.0,142.0,36.98,6932,61.88,8,23,4,1976,1995,ENG
105,AJ Strauss ,2003-2011,127,126,8,4205.0,158.0,35.63,5195,80.94,6,27,9,2003,2011,ENG
