,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Start,End,Final Region
0,V Kohli ,2010-2019,75,70,20,2633.0,94.0,52.66,1907,138.07,0,24,2,247,71,2010,2019,INDIA
1,RG Sharma ,2007-2019,104,96,14,2633.0,118.0,32.1,1905,138.21,4,19,6,234,120,2007,2019,INDIA
2,MJ Guptill ,2009-2019,83,80,7,2436.0,105.0,33.36,1810,134.58,2,15,2,215,113,2009,2019,NZ
3,Shoaib Malik ,2006-2019,111,104,30,2263.0,75.0,30.58,1824,124.06,0,7,1,186,61,2006,2019,PAK
4,BB McCullum ,2005-2015,71,70,10,2140.0,123.0,35.66,1571,136.21,2,13,3,199,91,2005,2015,NZ
5,DA Warner ,2009-2019,76,76,8,2079.0,100.0,30.57,1476,140.85,1,15,5,203,86,2009,2019,AUS
6,EJG Morgan ,2009-2019,86,84,17,2002.0,91.0,29.88,1475,135.72,0,11,3,151,96,2009,2019,ENG
7,Mohammad Shahzad ,2010-2018,65,65,3,1936.0,118.0,31.22,1436,134.81,1,12,3,218,72,2010,2018,AFG
8,JP Duminy ,2007-2019,81,75,25,1934.0,96.0,38.68,1532,126.24,0,11,6,138,71,2007,2019,SA
9,PR Stirling ,2009-2019,72,71,6,1929.0,91.0,29.67,1401,137.68,0,16,8,233,59,2009,2019,IRE
10,Mohammad Hafeez ,2006-2018,89,86,8,1908.0,86.0,24.46,1643,116.12,0,10,6,196,51,2006,2018,PAK
11,TM Dilshan ,2006-2016,80,79,12,1889.0,104.0,28.19,1567,120.54,1,13,10,223,33,2006,2016,SL
12,AJ Finch ,2011-2019,58,58,9,1878.0,172.0,38.32,1200,156.5,2,11,4,182,90,2011,2019,AUS
13,LRPL Taylor ,2006-2019,95,87,19,1743.0,63.0,25.63,1430,121.88,0,5,5,110,65,2006,2019,NZ
14,Umar Akmal ,2009-2019,84,79,14,1690.0,94.0,26.0,1377,122.73,0,8,10,122,55,2009,2019,PAK
15,AB de Villiers ,2006-2017,78,75,11,1672.0,79.0,26.12,1237,135.16,0,10,5,140,60,2006,2017,SA
16,H Masakadza ,2006-2019,66,66,2,1662.0,93.0,25.96,1418,117.2,0,11,1,151,65,2006,2019,ZIM
